Index-Nr;Modell-Nr;Aktf.;Bias;Lernrate;Mini Batch;Trainingszeit (s);Train-Cost;Val.-Cost;Test-Cost;Train-Quote;Val.-Quote;Test-Quote
277;6;relu;False;1;32;13.6;0.0141;0.0133;0.0135;0.9105;0.9143;0.9139
278;6;relu;True;1;32;14.3;0.1229;0.1225;0.1224;0.3836;0.3855;0.3866
279;6;$\sigma$;False;1;32;13.6;0.0359;0.0346;0.0351;0.7842;0.8021;0.7951
280;6;$\sigma$;True;1;32;13.9;0.0388;0.0372;38;0.7712;0.7927;0.7798
281;6;tanh;False;1;32;13.7;0.0119;0.0109;0.0119;0.9241;0.9291;0.9232
282;6;tanh;True;1;32;14.0;0.0116;0.0111;0.0119;0.9239;0.9268;0.9213
283;6;relu;False;1;128;8.0;0.0147;0.0136;0.0137;0.9037;0.9078;0.9132
284;6;relu;True;1;128;8.2;0.0138;0.0126;0.0133;0.9094;0.9165;0.9125
285;6;$\sigma$;False;1;128;8.1;0.0889;0.0889;0.0888;0.2997;0.2983;0.2993
286;6;$\sigma$;True;1;128;8.3;0.0867;0.0868;0.0867;0.2103;0.2038;0.2103
287;6;tanh;False;1;128;8.3;0.0143;0.0134;0.0139;0.91;0.9144;0.9145
288;6;tanh;True;1;128;8.3;0.0142;0.0131;0.0133;0.9077;916;0.9156
289;6;relu;False;0.1;8;36.7;0.0125;0.0118;0.0126;0.9193;0.9221;0.9169
290;6;relu;True;0.1;8;37.8;0.0131;12;0.0129;0.9146;0.9213;0.9154
291;6;$\sigma$;False;0.1;8;37.1;0.0844;0.0843;0.0844;372;0.3825;0.3762
292;6;$\sigma$;True;0.1;8;37.9;0.0786;0.0787;0.0784;0.3017;0.3043;304
293;6;tanh;False;0.1;8;37.2;0.0123;0.0117;0.0123;0.9209;0.9245;0.9209
294;6;tanh;True;0.1;8;38.2;0.0119;0.0112;12;0.9235;0.9282;0.9229
295;6;relu;False;0.1;32;14.4;0.0185;0.0171;0.0177;882;0.8895;0.8856
296;6;relu;True;0.1;32;14.6;0.0195;18;0.0186;0.8781;0.8859;0.8811
297;6;$\sigma$;False;0.1;32;14.3;0.0898;0.0898;0.0898;0.1251;0.1198;0.1245
298;6;$\sigma$;True;0.1;32;14.6;0.0896;0.0896;0.0896;0.1144;0.1071;0.1148
299;6;tanh;False;0.1;32;14.5;0.0198;0.0181;0.0189;0.8805;0.8941;0.8863
300;6;tanh;True;0.1;32;14.8;0.0193;0.0179;0.0185;0.8855;0.8954;0.8898
301;6;relu;False;0.1;128;8.6;0.0827;82;0.0826;0.2818;0.2916;0.2832
302;6;relu;True;0.1;128;8.7;0.0778;0.0772;0.0774;0.3182;0.3278;0.3229
303;6;$\sigma$;False;0.1;128;8.8;0.0899;0.0899;0.0899;0.1804;0.1851;0.1847
304;6;$\sigma$;True;0.1;128;8.8;0.09;0.0901;0.09;148;0.1429;0.1459
305;6;tanh;False;0.1;128;8.7;0.0576;57;0.0572;0.6201;0.6299;0.6272
306;6;tanh;True;0.1;128;8.9;0.0612;0.06;0.0607;0.6826;0.7068;0.6983
307;6;relu;False;0.01;8;38.6;0.0578;57;0.0567;0.6257;0.6371;0.6377
308;6;relu;True;0.01;8;39.5;0.0691;0.0685;0.0684;531;0.5489;0.5464
309;6;$\sigma$;False;0.01;8;39.2;0.0899;0.0899;0.0899;0.1136;0.1064;0.1135
310;6;$\sigma$;True;0.01;8;39.9;0.0902;0.0902;0.0903;0.1136;0.1064;0.1135
311;6;tanh;False;0.01;8;39.0;0.0383;0.0362;0.0374;0.7673;0.7841;0.7762
312;6;tanh;True;0.01;8;39.9;0.0423;0.0408;0.0412;0.7139;0.7256;0.7267
313;6;relu;False;0.01;32;15.1;0.0884;0.0883;0.0883;0.1804;0.1905;0.1829
314;6;relu;True;0.01;32;15.3;0.0885;0.0884;0.0885;0.2116;0.2119;0.2176
315;6;$\sigma$;False;0.01;32;15.2;0.0904;0.0903;0.0904;0.1015;0.1033;0.1024
316;6;$\sigma$;True;0.01;32;15.3;0.0904;0.0905;0.0904;0.1136;0.1064;0.1135
317;6;tanh;False;0.01;32;15.2;0.0826;0.0824;0.0823;0.4393;0.4459;0.4519
318;6;tanh;True;0.01;32;15.5;0.0797;0.0797;0.0795;0.4193;0.4292;0.4343
319;6;relu;False;0.01;128;9.0;0.0898;0.0899;0.0899;0.1351;0.1331;0.1264
320;6;relu;True;0.01;128;9.2;0.0898;0.0898;0.0899;0.1303;0.1311;0.1314
321;6;$\sigma$;False;0.01;128;9.4;0.0934;0.0935;0.0934;0.0998;0.0961;0.1009
322;6;$\sigma$;True;0.01;128;9.4;0.0918;0.0916;0.0918;0.1035;109;0.1028
323;6;tanh;False;0.01;128;9.3;0.0887;0.0886;0.0887;0.2041;0.2069;0.2028
324;6;tanh;True;0.01;128;9.5;89;0.0889;89;0.1856;0.1906;0.1885
325;7;relu;False;1;8;46.6;0.1606;0.16;0.1604;0.1969;0.1999;198
326;7;relu;True;1;8;48.0;0.1515;0.1525;0.1522;0.2419;0.2372;0.2386
327;7;$\sigma$;False;1;8;47.2;0.0095;0.0089;0.0095;0.9383;943;0.9392
328;7;$\sigma$;True;1;8;48.3;0.01;0.0096;0.0101;0.9359;0.9368;934
329;7;tanh;False;1;8;47.7;0.0049;0.0053;0.0057;0.9682;0.9661;0.9629
330;7;tanh;True;1;8;48.3;0.0042;0.0052;0.0053;0.9732;0.9661;0.9657
331;7;relu;False;1;32;18.4;0.0079;0.0075;0.0081;0.9496;0.95;0.9457
332;7;relu;True;1;32;18.6;0.1001;0.0977;0.1001;0.4913;0.5033;0.4902
333;7;$\sigma$;False;1;32;18.5;0.0168;0.0156;0.0161;0.8945;0.9026;0.8975
334;7;$\sigma$;True;1;32;18.9;0.0166;0.0152;0.0158;0.8966;0.9082;0.9001
335;7;tanh;False;1;32;18.7;0.0066;0.0066;0.0069;0.9587;0.9577;0.9553
336;7;tanh;True;1;32;19.0;0.0069;0.0069;0.0074;0.9572;0.9548;0.9525
337;7;relu;False;1;128;10.6;0.0105;0.0098;0.0102;0.9343;0.9385;0.9347
338;7;relu;True;1;128;10.5;12;0.0114;0.0119;0.9229;0.9261;0.9227
339;7;$\sigma$;False;1;128;10.6;0.0727;0.0727;0.0724;0.4768;0.4821;0.4798
340;7;$\sigma$;True;1;128;10.7;0.07;0.0698;0.0697;0.4774;0.4909;0.4709
341;7;tanh;False;1;128;10.7;0.0117;0.0108;0.0115;0.9263;0.9306;0.9248
342;7;tanh;True;1;128;10.9;0.0115;0.0106;0.0112;0.9267;0.93;929
343;7;relu;False;0.1;8;50.1;0.0087;0.0082;0.0089;0.9445;0.9481;0.9422
344;7;relu;True;0.1;8;49.8;0.0095;0.0091;0.0095;0.9394;0.9402;0.9374
345;7;$\sigma$;False;0.1;8;48.7;0.0439;0.0425;0.0432;0.74;0.7606;749
346;7;$\sigma$;True;0.1;8;50.2;0.0406;39;0.0398;0.7645;0.7865;0.7756
347;7;tanh;False;0.1;8;49.2;0.0096;9;0.0096;0.9397;0.9436;0.9386
348;7;tanh;True;0.1;8;50.5;0.0099;0.0092;0.0099;0.9388;941;0.9358
349;7;relu;False;0.1;32;19.1;0.0144;13;0.0135;0.9085;0.9195;0.9139
350;7;relu;True;0.1;32;19.2;14;0.0127;0.0133;0.9117;0.9205;0.9164
351;7;$\sigma$;False;0.1;32;19.0;0.0888;0.0888;0.0888;0.2464;0.2443;0.2534
352;7;$\sigma$;True;0.1;32;19.4;0.0875;0.0875;0.0874;0.2663;0.2613;0.2758
353;7;tanh;False;0.1;32;19.3;0.0151;0.0135;0.0141;0.9054;0.9145;0.9126
354;7;tanh;True;0.1;32;19.5;0.0149;0.0134;0.0139;0.9055;0.9133;0.9119
355;7;relu;False;0.1;128;11.1;0.0351;33;0.0335;0.79;808;0.8004
356;7;relu;True;0.1;128;11.2;0.0304;0.0283;0.0291;829;0.8453;0.8403
357;7;$\sigma$;False;0.1;128;10.9;0.0901;0.0901;0.0901;0.1694;0.1714;0.1702
358;7;$\sigma$;True;0.1;128;11.1;0.0894;0.0894;0.0894;0.1243;0.1175;0.1258
359;7;tanh;False;0.1;128;11.1;0.0277;0.0252;0.0263;0.8453;0.8668;0.8573
360;7;tanh;True;0.1;128;11.2;0.0269;0.0245;0.0255;0.8501;868;0.8633
361;7;relu;False;0.01;8;52.6;0.0212;0.0193;0.02;0.8742;0.8862;883
362;7;relu;True;0.01;8;52.2;24;0.0218;0.0225;0.8629;0.8801;0.8739
363;7;$\sigma$;False;0.01;8;51.1;0.0901;0.0902;0.0901;0.1858;0.1832;0.1826
364;7;$\sigma$;True;0.01;8;51.9;0.0894;0.0894;0.0893;0.1159;0.1086;0.1183
365;7;tanh;False;0.01;8;53.3;0.0212;0.0189;0.02;876;0.8917;0.8853
366;7;tanh;True;0.01;8;52.6;0.0211;0.0189;0.0198;0.8748;0.8896;0.8868
367;7;relu;False;0.01;32;20.7;0.0767;0.0762;0.0763;0.5228;0.5365;0.5247
368;7;relu;True;0.01;32;20.7;0.0709;0.0703;0.0706;0.5761;0.5876;0.5856
369;7;$\sigma$;False;0.01;32;20.2;0.0908;0.0909;0.0907;0.1392;0.1291;0.1417
370;7;$\sigma$;True;0.01;32;20.9;0.0902;0.0902;0.0903;0.1215;0.1113;0.1228
371;7;tanh;False;0.01;32;20.3;0.0488;0.0469;0.0478;0.7276;0.7479;0.7424
372;7;tanh;True;0.01;32;20.5;49;0.0473;0.0481;0.7238;0.7473;0.7318
373;7;relu;False;0.01;128;11.5;0.0875;0.0874;0.0874;0.2363;0.2445;0.2398
374;7;relu;True;0.01;128;11.7;0.0885;0.0884;0.0883;0.2197;0.2336;0.2299
375;7;$\sigma$;False;0.01;128;11.7;0.0908;0.0908;0.0908;119;0.1118;0.1181
376;7;$\sigma$;True;0.01;128;11.9;91;91;91;0.0935;101;0.0973
377;7;tanh;False;0.01;128;12.6;0.0803;0.0795;0.0805;0.3822;0.4037;0.3757
378;7;tanh;True;0.01;128;12.0;0.0811;0.0809;0.0812;0.4397;0.4404;0.4358
