Index-Nr;Modell-Nr;Aktf.;rek. Aktf.;Lernrate;Mini Batch;Trainingszeit (s);Train-Cost;Val.-Cost;Test-Cost;Train-Quote;Val.-Quote;Test-Quote
1;1;$\sigma$;$\sigma$;1;8;68.3;0.0868;87;0.0867;0.2055;0.1988;0.2054
2;1;$\sigma$;tanh;1;8;68.9;0.0333;0.0309;0.0325;0.7769;0.7997;0.7854
3;1;tanh;$\sigma$;1;8;69.0;0.0147;0.0133;0.0139;0.9058;0.9137;0.9078
4;1;tanh;tanh;1;8;69.3;0.0716;0.0699;0.0707;0.4516;0.4656;0.4593
5;1;$\sigma$;$\sigma$;1;32;20.8;0.09;0.09;0.09;0.1136;0.1064;0.1135
6;1;$\sigma$;tanh;1;32;20.8;0.0554;0.0532;0.0556;0.6032;0.6257;0.5995
7;1;tanh;$\sigma$;1;32;21.2;0.0359;0.0337;0.0359;0.7543;0.7764;0.7561
8;1;tanh;tanh;1;32;21.4;0.0765;0.0766;0.0772;0.4691;0.4678;0.4638
9;1;$\sigma$;$\sigma$;1;128;10.0;0.09;0.09;0.09;0.1496;0.1566;0.1544
10;1;$\sigma$;tanh;1;128;10.3;0.09;0.09;0.09;0.1156;0.1092;0.1158
11;1;tanh;$\sigma$;1;128;10.5;0.0728;0.0722;0.0722;0.3864;0.3911;0.3926
12;1;tanh;tanh;1;128;10.5;0.0897;0.0897;0.0897;0.1179;109;0.1173
13;1;$\sigma$;$\sigma$;0.1;8;72.3;0.09;0.09;0.09;0.1159;0.1092;0.1158
14;1;$\sigma$;tanh;0.1;8;72.5;0.0897;0.0896;0.0897;0.1812;0.1835;0.1813
15;1;tanh;$\sigma$;0.1;8;72.6;0.0529;0.0521;0.0523;0.6096;0.6216;0.6163
16;1;tanh;tanh;0.1;8;73.5;0.0898;0.0898;0.0898;0.1146;0.1075;0.1146
17;1;$\sigma$;$\sigma$;0.1;32;23.7;0.09;0.09;0.09;0.1136;0.1065;0.1135
18;1;$\sigma$;tanh;0.1;32;23.9;0.09;0.09;0.09;0.1258;0.1242;0.1277
19;1;tanh;$\sigma$;0.1;32;24.2;0.0874;0.0875;0.0873;0.1986;0.1954;0.2106
20;1;tanh;tanh;0.1;32;24.2;0.09;0.09;0.09;0.1145;0.1081;0.1144
21;1;$\sigma$;$\sigma$;0.1;128;12.6;0.0905;0.0906;0.0905;0.1175;122;0.1174
22;1;$\sigma$;tanh;0.1;128;13.5;0.09;0.09;0.09;0.1257;117;0.1247
23;1;tanh;$\sigma$;0.1;128;13.4;0.0897;0.0896;0.0897;0.1111;0.1105;0.1078
24;1;tanh;tanh;0.1;128;13.4;0.09;0.09;0.09;0.1159;0.1095;0.1155
25;1;$\sigma$;$\sigma$;0.01;8;76.1;0.0902;0.0903;0.0903;0.1121;0.1105;0.1052
26;1;$\sigma$;tanh;0.01;8;76.9;0.09;0.09;0.09;0.1158;0.1091;0.1166
27;1;tanh;$\sigma$;0.01;8;78.6;0.0899;0.0899;0.0899;0.1208;0.1248;0.1217
28;1;tanh;tanh;0.01;8;77.3;0.09;0.09;0.09;0.1154;0.1088;0.1146
29;1;$\sigma$;$\sigma$;0.01;32;26.5;0.0908;0.0908;0.0908;102;103;101
30;1;$\sigma$;tanh;0.01;32;26.9;0.0899;0.0899;0.0899;0.1494;0.1464;0.1522
31;1;tanh;$\sigma$;0.01;32;27.2;0.0897;0.0896;0.0897;0.1786;0.1847;0.1783
32;1;tanh;tanh;0.01;32;27.2;0.09;0.09;0.09;0.1196;0.1137;0.1201
33;1;$\sigma$;$\sigma$;0.01;128;15.4;0.0914;0.0913;0.0914;0.0986;0.0991;98
34;1;$\sigma$;tanh;0.01;128;16.0;0.09;0.09;0.09;0.1154;0.1111;0.1179
35;1;tanh;$\sigma$;0.01;128;15.8;0.0901;0.0901;0.0901;0.1218;0.1247;0.1216
36;1;tanh;tanh;0.01;128;16.1;0.09;0.09;0.09;0.1269;0.1207;0.1282
37;2;$\sigma$;$\sigma$;1;8;143.1;0.09;0.09;0.09;0.1136;0.1064;0.1135
38;2;$\sigma$;tanh;1;8;145.0;24;0.0217;0.0231;0.8489;0.8668;0.8559
