Index-Nr;Modell-Nr;Aktf.;rek. Aktf.;Bias;Lernrate;Mini Batch;Epochs;Trainingszeit (s);Train-Cost;Val.-Cost;Test-Cost;Train-Quote;Val.-Quote;Test-Quote
113;4;sigmoid;sigmoid;True;1;32;3;88.3;0.09;0.09;0.09;0.1136;0.1064;0.1135
114;4;sigmoid;tanh;True;1;32;3;88.0;0.09;0.09;0.09;0.1136;0.1064;0.1135
115;4;tanh;sigmoid;True;1;32;3;89.6;0.025;0.0233;0.0236;0.8353;0.8476;0.8457
116;4;tanh;tanh;True;1;32;3;89.6;0.09;0.09;0.09;0.1136;0.1064;0.1135
117;4;sigmoid;sigmoid;True;1;128;3;63.4;0.09;0.09;0.09;0.1136;0.1064;0.1135
118;4;sigmoid;tanh;True;1;128;3;63.8;0.09;0.09;0.09;0.1136;0.1064;0.1135
119;4;tanh;sigmoid;True;1;128;3;64.2;0.0707;0.071;0.0706;0.4154;0.4161;0.4098
120;4;tanh;tanh;True;1;128;3;64.7;0.09;0.09;0.09;0.1136;0.1064;0.1135
121;4;sigmoid;sigmoid;True;0.1;8;3;203.4;0.09;0.09;0.09;0.1136;0.1064;0.1135
122;4;sigmoid;tanh;True;0.1;8;3;205.9;0.09;0.09;0.09;0.1136;0.1064;0.1135
123;4;tanh;sigmoid;True;0.1;8;3;209.2;0.0473;0.0458;0.0466;0.6745;0.688;0.685
124;4;tanh;tanh;True;0.1;8;3;208.7;0.09;0.09;0.09;0.1136;0.1064;0.1135
125;4;sigmoid;sigmoid;True;0.1;32;3;95.8;0.0904;0.0904;0.0904;0.1136;0.1064;0.1135
126;4;sigmoid;tanh;True;0.1;32;3;96.1;0.09;0.09;0.09;0.1136;0.1064;0.1135
127;4;tanh;sigmoid;True;0.1;32;3;99.2;0.087;0.0869;0.0869;0.1808;0.1798;0.1854
128;4;tanh;tanh;True;0.1;32;3;97.8;0.09;0.09;0.09;0.1136;0.1064;0.1135
129;4;sigmoid;sigmoid;True;0.1;128;3;70.5;0.0908;0.0909;0.0908;0.1136;0.1064;0.1135
130;4;sigmoid;tanh;True;0.1;128;3;70.5;0.09;0.09;0.09;0.0986;0.0991;0.098
131;4;tanh;sigmoid;True;0.1;128;3;71.7;0.09;0.09;0.09;0.1335;0.1315;0.1328
132;4;tanh;tanh;True;0.1;128;3;71.8;0.09;0.09;0.09;0.1136;0.1064;0.1135
133;4;sigmoid;sigmoid;True;0.01;8;3;214.9;0.0906;0.0907;0.0907;0.1136;0.1064;0.1135
134;4;sigmoid;tanh;True;0.01;8;3;216.8;0.09;0.09;0.09;0.1136;0.1064;0.1135
135;4;tanh;sigmoid;True;0.01;8;3;217.2;0.0895;0.0895;0.0895;0.1783;0.1814;0.1867
136;4;tanh;tanh;True;0.01;8;3;217.0;0.09;0.09;0.09;0.1136;0.1064;0.1135
137;4;sigmoid;sigmoid;True;0.01;32;3;103.5;0.0909;0.0909;0.0909;0.102;0.103;0.101
138;4;sigmoid;tanh;True;0.01;32;3;103.9;0.09;0.09;0.09;0.1034;0.1089;0.1028
139;4;tanh;sigmoid;True;0.01;32;3;104.5;0.09;0.09;0.09;0.1287;0.1252;0.1216
140;4;tanh;tanh;True;0.01;32;3;105.0;0.09;0.09;0.09;0.1136;0.1064;0.1135
141;4;sigmoid;sigmoid;True;0.01;128;3;77.7;0.0911;0.0909;0.0911;0.1035;0.109;0.1028
142;4;sigmoid;tanh;True;0.01;128;3;77.9;0.09;0.09;0.09;0.1136;0.1064;0.1135
143;4;tanh;sigmoid;True;0.01;128;3;78.8;0.0899;0.0899;0.0899;0.1276;0.1318;0.1282
144;4;tanh;tanh;True;0.01;128;3;79.9;0.09;0.09;0.09;0.1136;0.1064;0.1135
